v1,v2
ham,Hey how are you doing?
ham,Are we meeting today?
ham,Call me when you reach home
ham,Don't forget the assignment
ham,Let's go out for dinner
ham,Can you send me the file?
ham,I will call you later
ham,See you tomorrow
ham,What are you doing now?
ham,Meeting is at 5 pm
spam,Win a free iPhone now!!!
spam,Congratulations you won $1000
spam,Claim your reward now click here
spam,Limited time offer buy now
spam,You are selected for lottery
spam,Free entry in contest reply now
spam,Get cash fast no credit check
spam,Exclusive deal click here
spam,Act now to claim prize
spam,You are lucky winner
ham,Can we reschedule the meeting?
ham,I will be late today
ham,Did you finish homework?
ham,Let's watch a movie
ham,Happy birthday have a great day
ham,Good morning have a nice day
ham,Are you free this weekend?
ham,Let's meet at the cafe
ham,Send me your location
ham,I reached safely
spam,Buy 1 get 1 free offer
spam,Click here to earn money fast
spam,Win cash instantly now
spam,Free gift waiting for you
spam,Claim bonus now limited time
spam,Cheap loans available apply now
spam,You won a free trip
spam,Get rich quick scheme join now
spam,Urgent response needed claim prize
spam,Special discount just for you
